City,Daylight,zipcode,HUC_NAME,savings,HUC_CODE,State,Longitude,HUC250K_ID,pop,Latitude,Timezone,GEOID10
Tyler,,75705,Upper Angelina,,12020004,TX,-95.08971,1927,2168,32.364281,,75705
Tyler,,75706,Middle Sabine,,12010002,TX,-95.33155,1879,8771,32.456565,,75706
Tyler,,75707,Upper Angelina,,12020004,TX,-95.20749,1927,13711,32.292394,,75707
Tyler,,75708,Middle Sabine,,12010002,TX,-95.22276,1879,7156,32.40331,,75708
Tyler,,75709,Upper Neches,,12020001,TX,-95.39191,1911,5062,32.31265,,75709
Tyler,,75710,,,,TX,-95.306528,,,32.347549,,
Tyler,,75711,,,,TX,-95.419983,,,32.539879,,
Tyler,,75712,,,,TX,-95.289903,,,32.411237,,
Tyler,,75713,,,,TX,-95.289903,,,32.411237,,
Arp,,75750,Upper Angelina,,12020004,TX,-95.06517,1927,3937,32.254414,,75750
Athens,,75751,Lower Trinity-Tehuacana,,12030201,TX,-95.84625,1941,17253,32.184027,,75751
Winona,,75752,Cedar,,12030107,TX,-95.785482,1885,6986,32.223828,,75752
Ben Wheeler,,75754,Upper Neches,,12020001,TX,-95.66711,1911,5783,32.412451,,75754
Big Sandy,,75755,Middle Sabine,,12010002,TX,-95.1259,1879,5719,32.649482,,75755
Brownsboro,,75756,Upper Neches,,12020001,TX,-95.60507,1911,4002,32.306045,,75756
Bullard,,75757,Upper Neches,,12020001,TX,-95.3671,1911,10022,32.136787,,75757
Chandler,,75758,Upper Neches,,12020001,TX,-95.49667,1911,9072,32.251068,,75758
Cuney,,75759,Upper Neches,,12020001,TX,-95.41776,1911,141,32.034127,,75759
Cushing,,75760,Upper Angelina,,12020004,TX,-94.8631,1927,2614,31.817889,,75760
Flint,,75762,Upper Neches,,12020001,TX,-95.41859,1911,12466,32.207845,,75762
Frankston,,75763,Upper Neches,,12020001,TX,-95.50433,1911,6005,32.072339,,75763
Gallatin,,75764,Upper Angelina,,12020004,TX,-95.15272,1927,233,31.893439,,75764
Hawkins,,75765,Middle Sabine,,12010002,TX,-95.22445,1879,7607,32.617073,,75765
Jacksonville,,75766,Upper Angelina,,12020004,TX,-95.25281,1927,26388,31.953855,,75766
Larue,,75770,Upper Neches,,12020001,TX,-95.64632,1911,2776,32.132651,,75770
Lindale,,75771,Middle Sabine,,12010002,TX,-95.42126,1879,18361,32.522902,,75771
Maydelle,,75772,,,,TX,-95.300142,,,31.800846,,
Mineola,,75773,Lake Fork,,12010003,TX,-95.46982,1872,12791,32.674657,,75773
Murchison,,75778,Upper Neches,,12020001,TX,-95.7102,1911,3254,32.33383,,75778
Neches,,75779,Upper Neches,,12020001,TX,-95.661964,1911,122,31.794191,,75779
New Summerfield,,75780,Upper Angelina,,12020004,TX,-95.164021,1927,312,31.782048,,75780
Poynor,,75782,,,,TX,-95.59919,,,32.075703,,
Quitman,,75783,Lake Fork,,12010003,TX,-95.4355,1872,7219,32.810076,,75783
Reklaw,,75784,Upper Angelina,,12020004,TX,-94.9689,1927,658,31.883205,,75784
Rusk,,75785,Upper Neches,,12020001,TX,-95.16761,1911,11263,31.79364,,75785
Sacul,,75788,Upper Angelina,,12020004,TX,-94.91759,1927,126,31.825527,,75788
Troup,,75789,Upper Angelina,,12020004,TX,-95.10105,1927,7593,32.137225,,75789
Van,,75790,Upper Sabine,,12010001,TX,-95.63493,1857,4203,32.533765,,75790
Whitehouse,,75791,Upper Angelina,,12020004,TX,-95.21751,1927,13125,32.226082,,75791
Winona,,75792,Middle Sabine,,12010002,TX,-95.13088,1879,3518,32.476905,,75792
Tyler,,75798,,,,TX,-95.289903,,,32.411237,,
Tyler,,75799,,,,TX,-95.289903,,,32.411237,,
Palestine,,75801,Upper Neches,,12020001,TX,-95.63325,1911,16799,31.779481,,75801
Palestine,,75802,,,,TX,-95.579561,,,31.926836,,
Palestine,,75803,Upper Neches,,12020001,TX,-95.656779,1911,22397,31.760418,,75803
Little Elm,,75806,,,,TX,-96.904315,,,33.169075,,
Alto,,75825,,,,TX,-95.082239,,,31.64775,,
Buffalo,,75831,Lower Trinity-Tehuacana,,12030201,TX,-96.03725,1941,5386,31.453732,,75831
Cayuga,,75832,Lower Trinity-Tehuacana,,12030201,TX,-95.661964,1941,66,31.794191,,75832
Centerville,,75833,Lower Trinity-Kickapoo,,12030202,TX,-95.90131,1997,3324,31.27575,,75833
Centralia,,75834,,,,TX,-95.138794,,,31.105786,,
Crockett,,75835,Lower Trinity-Tehuacana,,12030201,TX,-95.47393,1941,12012,31.315837,,75835
